age,qx_am92ult,qx_am92sel,qx_am92sel_plusone
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.000219,0.000646
17,0.0006,0.000592,0.000591
18,0.000594,0.000586,0.000585
19,0.000587,0.00058,0.00058
20,0.000582,0.000575,0.000575
21,0.000577,0.000568,0.00057
22,0.000572,0.000566,0.000568
23,0.000569,0.000564,0.000566
24,0.000567,0.000561,0.000565
25,0.000566,0.000562,0.000567
26,0.000567,0.000563,0.00057
27,0.00057,0.000565,0.000573
28,0.000574,0.000571,0.000581
29,0.00058,0.00058,0.000591
30,0.00059,0.000588,0.000602
31,0.000602,0.000601,0.000618
32,0.000617,0.000618,0.000638
33,0.000636,0.000639,0.000662
34,0.00066,0.000665,0.000692
35,0.000689,0.000695,0.000726
36,0.000724,0.000731,0.000767
37,0.000765,0.000774,0.000815
38,0.000813,0.000825,0.000873
39,0.00087,0.000884,0.000939
40,0.000937,0.000954,0.001017
41,0.001014,0.001036,0.001107
42,0.001104,0.001129,0.00121
43,0.001208,0.001237,0.00133
44,0.001327,0.001362,0.001467
45,0.001465,0.001505,0.001624
46,0.001622,0.00167,0.001805
47,0.001802,0.001857,0.002009
48,0.002008,0.002073,0.002244
49,0.002241,0.002318,0.002511
50,0.002508,0.002596,0.002814
51,0.002809,0.002913,0.003157
52,0.003152,0.003273,0.003547
53,0.003539,0.00368,0.003987
54,0.003976,0.004141,0.004485
55,0.004469,0.004663,0.005046
56,0.005025,0.005251,0.005679
57,0.00565,0.005914,0.006391
58,0.006352,0.006659,0.007191
59,0.00714,0.007499,0.008089
60,0.008022,0.008439,0.009096
61,0.009009,0.009497,0.010226
62,0.010112,0.010679,0.011486
63,0.011344,0.012001,0.012894
64,0.012716,0.013476,0.014465
65,0.014243,0.015125,0.016215
66,0.01594,0.016959,0.018161
67,0.017824,0.019,0.020324
68,0.019913,0.021268,0.022723
69,0.022226,0.023784,0.025382
70,0.024783,0.026569,0.028322
71,0.027606,0.029649,0.03157
72,0.030718,0.033054,0.035153
73,0.034144,0.036806,0.039099
74,0.037911,0.040936,0.043437
75,0.042046,0.045479,0.048202
76,0.046578,0.050463,0.053423
77,0.051538,0.055923,0.059134
78,0.056956,0.061893,0.065374
79,0.062867,0.068411,0.072175
80,0.069303,0.075512,0.079577
81,0.0763,0.083236,0.087617
82,0.083893,0.091618,0.09633
83,0.092117,0.100697,0.105757
84,0.101007,0.110509,0.115931
85,0.1106,0.121092,0.126891
86,0.120929,0.132483,0.138668
87,0.132028,0.144709,0.151293
88,0.143929,0.157801,0.164795
89,0.15666,0.171789,0.179198
90,0.170247,0.021935,0.110052
91,0.184714,0.184714,0.200079
92,0.200079,0.200079,0.216354
93,0.216354,0.216354,0.233548
94,0.233548,0.233548,0.251662
95,0.251662,0.251662,0.270688
96,0.270688,0.270688,0.290613
97,0.290613,0.290613,0.311414
98,0.311414,0.311414,0.333058
99,0.333058,0.333058,0.355505
100,0.355505,0.355505,0.378702
101,0.378702,0.378702,0.402589
102,0.402589,0.402589,0.42709
103,0.42709,0.42709,0.452127
104,0.452127,0.452127,0.477601
105,0.477601,0.477601,0.503431
106,0.503431,0.503431,0.529487
107,0.529487,0.529487,0.555669
108,0.555669,0.555669,0.58186
109,0.58186,0.58186,0.607843
110,0.607843,0.607843,0.634375
111,0.634375,0.634375,0.65812
112,0.65812,0.65812,0.6875
113,0.6875,0.6875,0.72
114,0.72,0.72,0.714286
115,0.714286,0.714286,1.0
116,1.0,1.0,1.0
117,1.0,1.0,1.0
118,1.0,1.0,1.0
119,1.0,1.0,1.0
120,1.0,1.0,1.0
