age,qx_male,qx_female
0,0.000867,0.000726
1,0.000613,0.000540
2,0.000434,0.000374
3,0.000334,0.000280
4,0.000257,0.000210
5,0.000208,0.000162
6,0.000172,0.000129
7,0.000147,0.000107
8,0.000125,0.000090
9,0.000104,0.000075
10,0.000091,0.000063
11,0.000089,0.000060
12,0.000097,0.000065
13,0.000114,0.000077
14,0.000135,0.000092
15,0.000160,0.000110
16,0.000186,0.000128
17,0.000213,0.000148
18,0.000240,0.000168
19,0.000269,0.000190
20,0.000299,0.000211
21,0.000331,0.000233
22,0.000363,0.000257
23,0.000395,0.000282
24,0.000426,0.000308
25,0.000457,0.000336
26,0.000488,0.000364
27,0.000519,0.000393
28,0.000552,0.000423
29,0.000587,0.000454
30,0.000623,0.000486
31,0.000662,0.000520
32,0.000704,0.000556
33,0.000749,0.000595
34,0.000797,0.000635
35,0.000848,0.000678
36,0.000903,0.000724
37,0.000963,0.000774
38,0.001028,0.000827
39,0.001100,0.000885
40,0.001178,0.000948
41,0.001263,0.001017
42,0.001355,0.001092
43,0.001456,0.001174
44,0.001566,0.001264
45,0.001686,0.001362
46,0.001817,0.001469
47,0.001961,0.001586
48,0.002118,0.001714
49,0.002290,0.001853
50,0.002478,0.002006
51,0.002683,0.002173
52,0.002906,0.002356
53,0.003148,0.002556
54,0.003411,0.002774
55,0.003696,0.003011
56,0.004005,0.003269
57,0.004339,0.003549
58,0.004701,0.003853
59,0.005092,0.004183
60,0.005515,0.004540
61,0.005972,0.004926
62,0.006465,0.005344
63,0.006997,0.005795
64,0.007571,0.006282
65,0.008190,0.006807
66,0.008857,0.007373
67,0.009576,0.007982
68,0.010350,0.008638
69,0.011184,0.009343
70,0.012082,0.010101
71,0.013048,0.010915
72,0.014086,0.011789
73,0.015202,0.012726
74,0.016401,0.013731
75,0.017688,0.014808
76,0.019069,0.015961
77,0.020550,0.017195
78,0.022138,0.018515
79,0.023839,0.019926
80,0.025661,0.021434
81,0.027610,0.023045
82,0.029695,0.024765
83,0.031922,0.026602
84,0.034300,0.028563
85,0.036837,0.030656
86,0.039536,0.032876
87,0.042403,0.035237
88,0.045447,0.037746
89,0.048676,0.040411
90,0.052098,0.043241
91,0.055721,0.046245
92,0.059554,0.049433
93,0.063605,0.052814
94,0.067884,0.056398
95,0.072399,0.060194
96,0.077160,0.064212
97,0.082176,0.068463
98,0.087457,0.072957
99,0.093013,0.077704
100,0.098854,0.082715
101,0.104989,0.088002
102,0.111429,0.093576
103,0.118184,0.099448
104,0.125265,0.105631
105,1.000000,1.000000
